id,tur,metin,anlam_ekseni,iskelet,mekanizma,kutup,yon,yasanmislik,celisen,ayirt_edici_soru,modern_deyim
A001,atasözü,Ateş düştüğü yeri yakar,"Empati sınırı çizer, kolay avuntuyu reddeder, deneyim kapisi",Etkinin bilgisi yalnızca ona temas edende oluşur; dışarıdan bakan bilemez.,deneyim-kapisi,DUYGU BEDEN,0,0.95,,,
A002,atasözü,Bir musibet bin nasihatten yeğdir,"Öğüdün sınırını ilan eder, deneyim kapisi","Yaşanmış tek olay, aktarılmış çok bilgiden fazlasını öğretir.",deneyim-kapisi,ZIHIN DUYGU,0,1.0,,,
A003,atasözü,Damdan düşen damdan düşenin halini bilir,"Kimin anlayabileceğini işaretler, deneyim kapisi","Aynı durumu yaşamış olmak, anlamanın ön koşuludur.",deneyim-kapisi,DUYGU ILISKI,0,1.0,,,
A004,atasözü,Bekâra karı boşamak kolay,"Dışarıdan akıl verene sınır çizer, deneyim kapisi","Sonucun maliyetini taşımayan, kararı hafif görür.",deneyim-kapisi,ILISKI ZIHIN,0,0.95,,,
A005,atasözü,Ağrısız baş yastık istemez,"İlgisizliği açıklar, deneyim kapisi","Sorunu olmayan, çözüm arayışını anlamsız bulur.",deneyim-kapisi,BEDEN,0,0.7,,,
A006,atasözü,Sütten ağzı yanan yoğurdu üfleyerek yer,"Korunmanın maliyetini görünür kılar, asiri tepki","Bir kez zarar gören, benzeyen her şeye aşırı genelleyerek korunur.",asiri-tepki,ZIHIN DUYGU,-0.6,0.8,Sakınan göze çöp batar | Sürçen at bir daha sürçmez,"Aynı şey tekrar olursa seni ilk seferki kadar etkiler mi? | Neyin yanlış gittiğini adlandırabiliyor musun, yoksa sadece kötü hissettiğini mi biliyorsun?",
A007,atasözü,Sakınan göze çöp batar,"Tedbirin tersine döndüğü yeri gösterir, asiri tepki","Aşırı korunma, korunulan zararı çekmenin kendisine dönüşür.",asiri-tepki,ZIHIN,0.4,0.8,Sütten ağzı yanan yoğurdu üfleyerek yer,Aynı şey tekrar olursa seni ilk seferki kadar etkiler mi?,
A008,atasözü,Keskin sirke küpüne zarar verir,"Öfkeyi geri çeker, asiri tepki","Aşırı şiddetli tepki, önce tepkiyi üretenin kendisini yıpratır.",asiri-tepki,DUYGU ILISKI,-0.6,0.7,,,
A009,atasözü,"Ne yavuz ol asıl, ne yavaş ol basıl","Orta bandı işaretler, asiri tepki",İki uçtaki davranış da farklı yollardan aynı zararı üretir.,asiri-tepki,ILISKI,0,0.8,,,
A010,atasözü,Öfkeyle kalkan zararla oturur,"Beklemeye çağırır, asiri tepki","Duygusal yükün altında alınan karar, yük geçtiğinde maliyet olarak görünür.",asiri-tepki,DUYGU,-0.7,0.7,,,
A011,atasözü,Damlaya damlaya göl olur,"Sabra çağırır, birikim","Küçük ama kesintisiz birikim, büyük eşiği zamanla geçer.",birikim,PARA IS,0.7,0.3,,,
A012,atasözü,Sabırla koruk helva olur,"Beklemeyi meşrulaştırır, birikim","Olgunlaşma süreyi gerektirir, müdahaleyi değil.",birikim,ANLAM,-0.4,0.6,,,
A013,atasözü,Sabreden derviş muradına ermiş,"Dayanmaya çağırır, birikim","Sonuç, dayanma süresinin sonunda gelir.",birikim,DUYGU ANLAM,-0.4,0.7,,,
A014,atasözü,Yavaş giden yol alır,"Tempo düşürür, birikim","Sürdürülebilir hız, kesintili yüksek hızdan fazla mesafe üretir.",birikim,IS,-0.4,0.4,,,
A015,atasözü,Ayağını yorganına göre uzat,"Sınır koyar, kaynak siniri","Eylemin kapsamı, elde olan kaynağın sınırını aşmamalı.",kaynak-siniri,PARA,-0.8,0.4,Borç yiğidin kamçısıdır,Bu yükü kaldıramazsan ne olur?,
A016,atasözü,İki karpuz bir koltuğa sığmaz,"Seçmeye zorlar, kaynak siniri",Eşzamanlı taşınan yük sayısı arttıkça hiçbiri taşınamaz olur.,kaynak-siniri,IS ZIHIN,-0.7,0.5,Bir taşla iki kuş vurulur,"Bu ikisi aynı hamleyle mi oluyor, yoksa sırayla mı?",
A017,atasözü,Boş çuval ayakta durmaz,"Temeli hatırlatır, kaynak siniri","İçi doldurulmayan yapı, kendi biçimini koruyamaz.",kaynak-siniri,BEDEN PARA,0,0.5,,,
A018,atasözü,Aç ayı oynamaz,"Beklentiyi düşürür, kaynak siniri",Temel ihtiyaç karşılanmadan üst düzey performans beklenemez.,kaynak-siniri,BEDEN,0,0.6,,,
A019,atasözü,Acele işe şeytan karışır,"Yavaşlatır, hiz kalite","Hız arttıkça hata olasılığı, kazanılan zamandan fazla maliyet üretir.",hiz-kalite,IS,-0.7,0.5,Sona kalan dona kalır,"Beklersen iş bozulur mu, yoksa iş elinden mi gider?",
A020,atasözü,Acele giden ecele gider,"Sert biçimde yavaşlatır, hiz kalite",Hızın maliyeti bazen geri alınamaz olur.,hiz-kalite,BEDEN IS,-0.8,0.6,Sona kalan dona kalır,Yanlış yaparsan geri dönebilir misin?,
A021,atasözü,Sona kalan dona kalır,"Hızlandırır, zamanlama","Sınırlı kaynağın dağıtımında geciken, payını tamamen kaybeder.",zamanlama,IS ZIHIN,0.7,0.5,Acele işe şeytan karışır | Acele giden ecele gider | Geç olsun güç olmasın,"Beklersen iş bozulur mu, yoksa iş elinden mi gider? | Yanlış yaparsan geri dönebilir misin? | Bu işin bir son tarihi mi var, yoksa bir kullanıcısı mı?",
A022,atasözü,Bugünün işini yarına bırakma,"Harekete geçirir, zamanlama","Ertelenen iş, ertelendiği süre boyunca maliyet biriktirir.",zamanlama,IS,0.8,0.3,Geç olsun güç olmasın,"Beklerken bu iş büyüyor mu, aynı mı kalıyor?",
A023,atasözü,Geç olsun güç olmasın,"Aceleyi meşru biçimde reddeder, hiz kalite","Sürenin uzaması, sonucun bozulmasından daha kabul edilebilirdir.",hiz-kalite,IS ANLAM,-0.5,0.5,Sona kalan dona kalır | Bugünün işini yarına bırakma,"Bu işin bir son tarihi mi var, yoksa bir kullanıcısı mı? | Beklerken bu iş büyüyor mu, aynı mı kalıyor?",
A024,atasözü,Kervan yolda düzülür,"Başlamaya çağırır, zamanlama",Eksiksiz hazırlık beklenmez; düzen hareketin içinde oluşur.,zamanlama,IS,0.8,0.5,Denize girmeden paçaları sıvama,"Bilmediğin şeyi masa başında öğrenebilir misin, yoksa ancak yaparak mı?",
A025,atasözü,Denize girmeden paçaları sıvama,"Erken hamleyi durdurur, zamanlama","Koşullar oluşmadan yapılan hazırlık, boşa harcanmış eylemdir.",zamanlama,ZIHIN IS,-0.5,0.6,Kervan yolda düzülür,"Bilmediğin şeyi masa başında öğrenebilir misin, yoksa ancak yaparak mı?",
A026,atasözü,Ağaç yaşken eğilir,"Erken davranmaya çağırır, zamanlama",Biçimlendirme yalnızca yapı henüz esnekken mümkündür.,zamanlama,ZIHIN ILISKI,0.6,0.6,,,
A027,atasözü,Vakitsiz öten horozun başını keserler,"Zamanlamayı uyarır, zamanlama","Doğru şey yanlış anda söylenirse, içeriği değil zamanlaması cezalandırılır.",zamanlama,IS ILISKI,-0.6,0.8,,,
